Item,Quantity,Link
ESP32,1,https://www.aliexpress.com/item/1005009694232832.html?spm=a2g0o.productlist.main.1.5b8bc3f5B8HmYK&aem_p4p_detail=2026010206593715418004120532860003007959&algo_pvid=0f6d7b6e-c833-4946-b692-b332ab2295a3&algo_exp_id=0f6d7b6e-c833-4946-b692-b332ab2295a3-0&pdp_ext_f=%7B%22order%22%3A%22841%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%21116.69%21116.69%21%21%215.55%215.55%21%402103867617673659779095273ecb8a%2112000049877962179%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=bPYYmnweQOZ8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009694232832%7C_p_origin_prod%3A&search_p4p_id=2026010206593715418004120532860003007959_1
OLED display,1,https://www.aliexpress.com/item/32896971385.html?spm=a2g0o.order_list.order_list_main.73.59371802jT2w75
SD card module,1,https://www.aliexpress.com/item/1005009113598175.html?spm=a2g0o.order_list.order_list_main.48.59371802jT2w75
Breadboard,1,https://www.aliexpress.com/item/1005009799908389.html
Vibration motor ,1,https://www.aliexpress.com/item/1005005518779084.html?spm=a2g0o.order_list.order_list_main.84.59371802jT2w75
Buzzer,1,https://www.aliexpress.com/item/1005006260328559.html?spm=a2g0o.productlist.main.1.453422aaKms6QJ&aem_p4p_detail=20260102065614197141902846080003241083&algo_pvid=1067701f-d8a4-4073-b522-5bab83d10f92&algo_exp_id=1067701f-d8a4-4073-b522-5bab83d10f92-0&pdp_ext_f=%7B%22order%22%3A%22319%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2127.75%2124.39%21%21%211.32%211.16%21%402103847817673657740211243ef0d6%2112000036509108003%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=u9zf8d5xh8uM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006260328559%7C_p_origin_prod%3A&search_p4p_id=20260102065614197141902846080003241083_1
Jumpers,Much,https://www.aliexpress.com/item/1005002611994443.html?spm=a2g0o.productlist.main.28.7dc96f23Txzygz&algo_pvid=f0be8999-2c3a-4069-80dc-26b5da2359cc&algo_exp_id=f0be8999-2c3a-4069-80dc-26b5da2359cc-27&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2147.63%2147.63%21%21%212.24%212.24%21%4021038e6617651173371191604ebe80%2112000021387001543%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29912%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=fx2zB0EGcu5H&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002611994443%7C_p_origin_prod%3A
Button,1,https://www.aliexpress.com/item/1005007197228321.html?spm=a2g0o.productlist.main.39.89a15f75EL5YJ8&algo_pvid=861677b9-9cad-4bce-95e7-1d46c515099f&algo_exp_id=861677b9-9cad-4bce-95e7-1d46c515099f-38&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2155.68%2144.54%21%21%212.60%212.08%21%402103835e17685934825381313e1b63%2112000039769859949%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=niWf4yREvIVl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007197228321%7C_p_origin_prod%3A
RTC modul,1,https://www.aliexpress.com/item/1005006627321251.html?spm=a2g0o.productlist.main.13.28b34fd99WdIOj&algo_pvid=f66d8425-dd6d-43aa-8716-71319ca883a5&algo_exp_id=f66d8425-dd6d-43aa-8716-71319ca883a5-12&pdp_ext_f=%7B%22order%22%3A%2257%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%21118.57%2137.95%21%21%2138.56%2112.34%21%4021038e1e17685935383182820eebeb%2112000037942428152%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=19tjyUq9NzO2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006627321251%7C_p_origin_prod%3A
